numero_cliente;regional;safra_inicio_obras;nps_vistoria;faixa_renda;idade;filhos;sexo;estado_civil;escolaridade;meses_para_entrega;status_assistencia;acionamentos_assistencia;nps_6m;nps_6m_target
2028;BA;2022-2S;Neutro;FAIXA 2;32;0;0;Solteiro(a);Médio Completo;28;Procedente;2;Detrator;0
2029;BA;2022-2S;Neutro;FAIXA 3;38;0;0;Solteiro(a);Superior Completo;28;AMBOS TIPOS;1;Neutro;1
2030;BA;2022-2S;Detrator;FAIXA 4;56;0;0;Solteiro(a);Superior Completo;28;Não Solicitou;0;Detrator;0
2031;BA;2022-2S;Detrator;FAIXA 3;37;0;0;Solteiro(a);Superior Completo;28;Não Solicitou;0;Detrator;0
2032;BA;2022-2S;Detrator;FAIXA 3;42;1;1;Casado(a);Médio Completo;28;Procedente;0;Detrator;0
2033;BA;2022-2S;Neutro;FAIXA 4;57;0;0;Casado(a);Médio Completo;28;Procedente;1;Neutro;1
2034;BA;2022-2S;Neutro;FAIXA 2;48;0;0;Casado(a);Superior Completo;28;Não Solicitou;0;Neutro;1
2035;BA;2022-2S;Promotor;FAIXA 1;43;0;0;Solteiro(a);Superior Completo;28;Improcedente;2;Detrator;0
2036;BA;2022-2S;Detrator;FAIXA 2;26;0;0;Solteiro(a);Médio Completo;28;Improcedente;4;Detrator;0
2037;BA;2022-2S;Neutro;FAIXA 3;45;0;0;União estável;Médio Completo;28;Não Solicitou;0;Detrator;0
2038;BA;2022-2S;Detrator;FAIXA 1;37;1;1;União estável;Médio Completo;28;Improcedente;0;Detrator;0
2039;BA;2022-2S;Promotor;FAIXA 2;56;1;1;Solteiro(a);Superior Completo;28;Não Solicitou;0;Detrator;0
2040;BA;2022-2S;Detrator;FAIXA 3;46;0;0;Solteiro(a);Médio Completo;28;Improcedente;0;Neutro;1
2041;BA;2022-2S;Promotor;FAIXA 2;39;0;0;Solteiro(a);Superior Completo;28;AMBOS TIPOS;2;Detrator;0
2042;BA;2022-2S;Detrator;FAIXA 3;25;0;0;Solteiro(a);Médio Completo;28;Improcedente;1;Detrator;0
2043;BA;2022-2S;Promotor;FAIXA 3;42;0;0;Solteiro(a);Superior Completo;28;Não Solicitou;0;Promotor;2
2044;BA;2022-2S;Neutro;FAIXA 2;48;0;0;Divorciado(a);Médio Completo;28;Não Solicitou;0;Detrator;0
2045;BA;2022-2S;Detrator;FAIXA 1;33;0;0;Solteiro(a);Superior Incompleto;28;Não Solicitou;0;Detrator;0
2046;BA;2022-2S;Neutro;FAIXA 2;38;0;0;Solteiro(a);Superior Completo;28;Não Solicitou;0;Neutro;1
2047;BA;2022-2S;Detrator;FAIXA 2;34;0;0;Casado(a);Médio Completo;28;Não Solicitou;1;Detrator;0
2048;BA;2022-2S;Neutro;FAIXA 2;42;0;0;Casado(a);Superior Completo;28;Improcedente;0;Detrator;0
2049;BA;2022-2S;Promotor;FAIXA 3;61;0;0;Casado(a);Médio Completo;28;Não Solicitou;0;Neutro;1
2050;BA;2022-2S;Neutro;FAIXA 4;54;2;2;Casado(a);Superior Completo;28;Procedente;1;Detrator;0
2051;BA;2022-2S;Neutro;FAIXA 1;39;1;1;Solteiro(a);Superior Completo;28;Procedente;1;Neutro;1
2052;BA;2022-2S;Detrator;FAIXA 3;51;0;0;Solteiro(a);Médio Completo;28;Improcedente;0;Detrator;0
2053;BA;2022-2S;Neutro;FAIXA 3;44;1;1;Solteiro(a);Superior Completo;28;Não Solicitou;0;Detrator;0
2054;BA;2022-2S;Neutro;FAIXA 2;56;0;0;Solteiro(a);Superior Completo;28;AMBOS TIPOS;1;Detrator;0
2055;BA;2022-2S;Neutro;FAIXA 2;35;0;0;Solteiro(a);Superior Completo;28;Não Solicitou;1;Detrator;0
2056;CE;2023-2S;Neutro;FAIXA 1;35;0;0;Solteiro(a);Médio Completo;20;Procedente;0;Detrator;0
2057;BA;2022-2S;Detrator;FAIXA 2;31;0;0;Solteiro(a);Médio Completo;28;Procedente;2;Detrator;0
2058;BA;2022-2S;Neutro;FAIXA 3;38;0;0;Divorciado(a);Médio Completo;28;Não Solicitou;0;Detrator;0
2059;BA;2022-2S;Promotor;FAIXA 3;28;0;0;Solteiro(a);Médio Completo;28;Procedente;3;Detrator;0
2060;BA;2022-2S;Promotor;FAIXA 2;34;0;0;Casado(a);Superior Completo;28;AMBOS TIPOS;1;Detrator;0
2061;CE;2023-2S;Promotor;FAIXA 1;27;0;0;Solteiro(a);Médio Completo;20;Procedente;2;Neutro;1
2062;CE;2023-2S;Promotor;FAIXA 1;24;0;0;Solteiro(a);Médio Completo;20;Procedente;1;Neutro;1
2063;CE;2023-2S;Promotor;FAIXA 1;40;1;1;Solteiro(a);Médio Completo;20;Não Solicitou;0;Detrator;0
2064;CE;2023-2S;Promotor;FAIXA 1;44;0;0;Solteiro(a);Médio Completo;20;Procedente;3;Detrator;0
2065;CE;2023-2S;Neutro;FAIXA 1;28;0;0;Casado(a);Médio Completo;20;Procedente;1;Promotor;2
